xbj,Q2,z,zi,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad
0.35,4,0.7,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0,1.31318,0,0,0,0,1.23922
0.35,4,0.7,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0,1.33661,0,0,0,0,1.23938
0.45,4,0.4,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869295,0,-0,0,-0,0.71206,0,-0,0,0,0.869295,0,-0,0,-0,0.71206
0.45,4,0.4,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910998,0,-0,0,-0,0.784651,0,-0,0,0,0.910998,0,-0,0,-0,0.784651
0.45,4,0.4,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950111,0,-0,0,0,0.850961,0,-0,0,0,0.950111,0,-0,0,0,0.850961
0.45,4,0.4,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986636,0,-0,0,0,0.91099,0,-0,0,0,0.986636,0,-0,0,0,0.91099
0.45,4,0.4,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02057,0,-0,0,0,0.964737,0,-0,0,0,1.02057,0,-0,0,0,0.964737
0.45,4,0.4,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05192,0,-0,0,0,1.0122,0,-0,0,0,1.05192,0,-0,0,0,1.0122
0.45,4,0.4,0.325,5.84754,0.15768,11.457,0.339775,12.9606,0.343068,18.9984,0.558521,2.28415,0.152472,2.67624,0.195614,0.0187857,0.167675,0.664318,1.08068,0.125028,0.0399422,0.216216,1.08888,1.05339,0.0416371,0.0183463,0.371639,1.47241,1.08068,0.207326,0.0662335,0.358537,1.80562,1.05339
0.45,4,0.4,0.375,35.1647,0.386672,71.5738,0.849244,75.4773,0.827896,113.64,1.36599,11.8693,0.347567,16.0749,0.479415,0.152427,1.17838,4.17897,1.10684,0.904503,0.663368,1.58185,7.58576,1.08829,0.327168,0.377033,2.52928,8.96972,1.10684,1.43611,1.05325,2.51156,12.0442,1.08829
0.45,4,0.4,0.425,35.0823,0.386219,71.955,0.851503,75.9005,0.830213,113.594,1.36571,10.3645,0.324789,16.0034,0.478348,0.199982,1.4599,4.29626,1.13042,1.07516,1.11584,1.92717,8.14383,1.11692,0.432661,0.640306,3.15849,9.29495,1.13042,1.69734,1.76156,3.0424,12.8565,1.11692
0.45,4,0.4,0.475,9.32529,0.199123,19.8221,0.44692,19.0948,0.416413,29.2493,0.693008,3.14762,0.178986,4.29517,0.247815,0.0681657,0.49409,1.16075,1.15142,0.35337,0.440127,0.652504,2.31173,1.13926,0.139578,0.224133,1.01171,2.37679,1.15142,0.52143,0.649447,0.962829,3.41116,1.13926
