Q2,Q2_corr,xbj,xbj_corr,z,z_corr,RunGroup,y_RD,error_RD,y_RD_rho,yield_neg,yield_pos,charge_neg,charge_pos,yield_neg_rho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,Residual
4.0,3.89409,0.375,0.373287,0.525,0.532383,390.0,6.19691,1.6414,5.6353,12.7388,18.0489,107.597,55.8068,0.771184,0.771184,15.8426,13.0315,26.1055,22.0748,7.42106,3.82557,0.361918,0.516069,2.96219,1.5511437098586474
4.0,4.30673,0.425,0.418003,0.525,0.535886,390.0,4.46353,1.66554,4.03292,4.9905,7.73076,107.597,55.8068,0.290014,0.290014,4.83411,3.79921,8.1088,6.63342,6.88265,3.54086,0.403693,0.517834,2.94589,0.5653086771905708
4.0,3.45154,0.325,0.329967,0.575,0.574308,390.0,3.9882,0.695536,3.43269,16.1297,25.8303,107.597,55.8068,1.52995,1.52995,20.9314,18.1974,34.4767,30.3999,7.89648,3.75254,0.320858,0.558718,3.20694,0.9011772479355313
4.0,3.80732,0.375,0.375261,0.575,0.57491,390.0,3.89441,0.574415,3.32891,25.5308,41.1797,107.597,55.8068,2.30057,2.30057,31.6506,25.6614,53.2705,44.4083,7.22536,3.46243,0.362616,0.556533,3.1132,1.1399655021417914
4.0,4.19173,0.425,0.419485,0.575,0.574281,390.0,4.35627,0.9076,3.89413,14.1757,22.1153,107.597,55.8068,0.90763,0.90763,15.3775,12.5032,26.3098,22.7245,6.68455,3.22067,0.404221,0.553342,3.06175,1.320245627857809
4.0,3.45115,0.325,0.330207,0.625,0.623069,390.0,4.88099,0.953677,3.83576,14.0702,21.2477,107.597,55.8068,1.9385,1.9385,17.1813,14.3514,28.8347,25.3026,7.88815,3.40134,0.320955,0.606389,3.4769,2.069716468861621
4.0,3.80466,0.375,0.373142,0.625,0.620532,390.0,3.08529,0.493904,2.52798,16.7121,28.9845,107.597,55.8068,1.88315,1.88315,22.6081,18.9703,38.754,32.9624,7.27577,3.18835,0.360986,0.600758,3.37741,0.5218960027970178
4.0,4.2141,0.425,0.412254,0.625,0.612177,390.0,3.34002,1.19418,2.9254,3.3347,5.63978,107.597,55.8068,0.306027,0.306027,3.90889,3.49324,6.7881,5.75959,6.89114,3.08627,0.391424,0.585856,3.34007,0.42902815151426915
4.0,3.43474,0.325,0.327693,0.675,0.662209,390.0,2.95439,0.788938,2.05207,4.99911,8.79168,107.597,55.8068,0.922472,0.922472,6.26724,5.2224,10.6338,9.13409,7.93318,3.14147,0.317954,0.644702,3.70573,0.488387562995505
4.0,3.81404,0.375,0.363462,0.675,0.657048,390.0,5.0603,2.70415,4.02692,1.93174,2.888,107.597,55.8068,0.276821,0.276821,2.26798,1.88407,3.91321,3.22862,7.56163,3.05513,0.316021,0.632893,3.67958,0.9357234336631108
4.0,3.45698,0.325,0.329346,0.625,0.626301,380.0,2.74246,0.507489,2.01665,12.0485,21.7068,107.933,61.4134,1.95601,1.95601,16.5234,14.2901,27.7458,24.8137,7.92645,3.39579,0.320661,0.609566,3.50939,-0.27158096706427065
4.0,3.87229,0.375,0.371602,0.625,0.62744,380.0,4.74198,1.03639,3.8421,12.7814,19.4593,107.933,61.4134,1.59059,1.59059,15.3878,12.6068,26.4116,22.0722,7.43082,3.19841,0.359775,0.608711,3.4887,1.903309570761296
4.0,4.28443,0.425,0.410396,0.625,0.619353,380.0,3.18845,1.55929,2.57537,1.92376,3.30166,107.933,61.4134,0.232571,0.232571,2.06565,1.75345,3.59723,3.12643,7.03773,3.09726,0.395577,0.596804,3.45023,0.2699409442985312
4.0,3.43194,0.325,0.326377,0.675,0.666136,380.0,3.58348,0.835464,2.65219,8.27043,13.6836,107.933,61.4134,1.54971,1.54971,10.8544,9.26647,18.4106,14.8132,7.97058,3.12731,0.316702,0.648533,3.7405,1.2503862961171395
4.0,3.80049,0.375,0.362334,0.675,0.657376,380.0,5.63077,3.03632,4.38019,2.18751,3.17722,107.933,61.4134,0.364161,0.364161,2.72944,2.41533,4.71123,4.17498,7.56958,3.05677,0.327707,0.63298,3.67985,1.0213793424783528
4.0,3.17935,0.325,0.337811,0.325,0.340202,140.0,5.25436,2.59415,4.62323,2.49495,3.69169,131.166,72.0861,0.292892,0.292892,5.69208,5.77175,8.12371,7.70937,7.11644,4.88235,0.327522,0.329685,1.70457,-0.1610146644053047
4.0,3.4861,0.375,0.373966,0.325,0.341749,140.0,4.07344,1.2555,3.80912,5.61736,8.93899,131.166,72.0861,0.238767,0.238767,9.36956,8.22778,13.5331,12.4784,6.71935,4.6104,0.361444,0.330121,1.69569,-1.1599583398323416
4.0,3.9451,0.425,0.423084,0.325,0.341949,140.0,7.03446,3.23221,6.80218,3.93872,5.40941,131.166,72.0861,0.11743,0.11743,5.31008,4.95678,7.75718,6.98629,6.26283,4.30517,0.406986,0.328747,1.69712,0.5082390210685549
4.0,3.43177,0.375,0.376533,0.375,0.374812,140.0,4.4558,0.618534,4.15962,25.9785,40.2634,131.166,72.0861,1.26959,1.26959,37.6343,34.2353,55.4709,50.7714,6.56883,4.32618,0.363191,0.361003,1.81977,-1.2265426280871436
4.0,3.77607,0.425,0.424028,0.375,0.377242,140.0,4.88442,0.736281,4.58347,25.1198,37.9264,131.166,72.0861,1.10703,1.10703,34.6262,31.2379,51.5344,47.6941,6.01363,3.96279,0.40721,0.361762,1.78824,-0.24621587135308992
4.0,4.11058,0.475,0.471877,0.375,0.379762,140.0,6.92575,1.64492,6.71309,15.2627,21.0398,131.166,72.0861,0.353891,0.353891,16.817,14.6931,25.1416,22.0611,5.48581,3.61025,0.450794,0.362085,1.76067,1.2053863964746725
4.0,4.4049,0.525,0.518935,0.375,0.382401,140.0,8.20096,3.58711,7.81659,5.61525,7.44611,131.166,72.0861,0.174591,0.174591,4.96951,4.16126,7.4543,6.51937,4.96727,3.25902,0.493061,0.363134,1.72757,0.937084895479859
