xbj,Q2,z,x,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,xs_H2_pos,xs_H2_neg,y_H2_neg_incnorad_yield,y_H2_pos_incnorad_yield,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad,xs_D2_pos,xs_D2_neg,y_D2_neg_incnorad_yield,y_D2_pos_incnorad_yield
0.35,4,0.6,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0
0.35,4,0.6,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0
0.35,4,0.6,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0
0.35,4,0.6,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0
0.35,4,0.6,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0
0.35,4,0.6,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0
0.35,4,0.6,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0
0.35,4,0.6,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0
0.35,4,0.6,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08869,0,0,0,0,1.06827,0,0,0,0,0,0,0,0,1.08869,0,0,0,0,1.06827,0,0,0,0
0.35,4,0.6,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11033,0,0,0,0,1.09923,0,0,0,0,0,0,0,0,1.11033,0,0,0,0,1.09923,0,0,0,0
0.35,4,0.6,0.525,8.47578,0.196307,19.0242,0.36108,19.443,0.470208,32.3713,0.639907,3.40381,0.180758,5.09548,0.206018,0.072231,0.493253,1.20277,1.13216,0.286723,0.277376,0.678005,2.52184,1.1271,0,0,0,0,0.165694,0.203538,1.1315,2.7591,1.13216,0.487884,0.471979,1.15368,4.29113,1.1271,0,0,0,0
0.35,4,0.6,0.575,24.5756,0.334271,51.4326,0.593704,50.4269,0.75725,85.1262,1.03769,9.08815,0.29536,13.707,0.337897,0.276299,1.9115,3.57527,1.15416,1.00088,0.973746,2.40107,7.07909,1.1519,1.6579e-09,8.38687e-10,3.07002,6.06874,0.56694,0.692843,3.92221,7.33612,1.15416,1.65656,1.61165,3.974,11.7166,1.1519,1.03672e-08,6.41694e-09,27.1595,43.879
0.35,4,0.6,0.625,22.5671,0.32032,51.1422,0.592026,46.9989,0.731058,81.7895,1.01715,8.21597,0.28083,13.0733,0.329994,0.327693,2.32934,3.37339,1.17634,1.26572,1.24784,3.11887,7.36635,1.17361,1.11072e-09,5.42948e-10,5.84152,11.9501,0.682462,0.835089,4.85114,7.02552,1.17634,2.02422,1.99562,4.98787,11.7807,1.17361,8.90265e-09,5.37836e-09,69.0957,114.372
0.35,4,0.6,0.675,16.4103,0.273152,40.8082,0.52884,35.8175,0.638198,67.1606,0.921709,5.85842,0.23714,10.188,0.291312,0.301228,2.20735,2.52578,1.1987,1.26255,1.26429,3.20511,6.19285,1.19224,8.83e-10,4.23533e-10,3.64455,7.59829,0.657468,0.80785,4.81781,5.51284,1.1987,2.07786,2.08072,5.27484,10.192,1.19224,8.01299e-09,4.76079e-09,62.4063,105.037
0.35,4,0.6,0.725,5.33596,0.155759,14.3544,0.313649,11.8948,0.367778,21.6993,0.523913,1.85442,0.133419,3.15655,0.162151,0.121385,0.915947,0.847219,1.22124,0.545883,0.555197,1.42616,2.3081,1.2078,8.21331e-10,3.93374e-10,1.26667,2.6447,0.270588,0.334226,2.0418,1.8886,1.22124,0.8252,0.83928,2.1559,3.48911,1.2078,7.28481e-09,4.26915e-09,47.1846,80.515
0.35,4,0.6,0.775,0.0996559,0.0212862,0.0938515,0.0253613,0.184786,0.0458397,-nan,-nan,0.0176889,0.0130306,0.024893,0.0143996,0.00276029,0.0213916,0.0163501,1.24395,0.004319,0.00445691,0.0115833,0.0160629,1.22027,9.29883e-10,4.44885e-10,0.00769798,0.01609,0.00511824,0.00635666,0.0396651,0.030317,1.24395,-nan,-nan,-nan,-nan,1.22027,6.54272e-09,3.75291e-09,14.4516,25.1945
0.35,4,0.6,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,7.24292e-09,4.10818e-09,0.186364,0.328568
0.35,4,0.6,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0
0.35,4,0.6,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0
0.35,4,0.6,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0
0.35,4,0.7,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0
0.35,4,0.7,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0
0.35,4,0.7,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0
0.35,4,0.7,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0
0.35,4,0.7,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0
0.35,4,0.7,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0
0.35,4,0.7,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0
0.35,4,0.7,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0
0.35,4,0.7,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08869,0,0,0,0,1.06827,0,0,0,0,0,0,0,0,1.08869,0,0,0,0,1.06827,0,0,0,0
0.35,4,0.7,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11033,0,0,0,0,1.09923,0,0,0,0,0,0,0,0,1.11033,0,0,0,0,1.09923,0,0,0,0
0.35,4,0.7,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13216,0,0,0,0,1.1271,0,0,0,0,0,0,0,0,1.13216,0,0,0,0,1.1271,0,0,0,0
0.35,4,0.7,0.575,0.27205,0.0355669,0.462139,0.0623583,0.617624,0.0776868,0.909975,0.104192,0.142553,0.0399293,0.22257,0.0422434,0.0030586,0.02116,0.0395778,1.15416,0.00899323,0.00874942,0.0215743,0.0636079,1.1519,0,0,0,0,0.00694383,0.00848588,0.0480388,0.089852,1.15416,0.0177081,0.0172281,0.042481,0.125247,1.1519,0,0,0,0
0.35,4,0.7,0.625,12.115,0.237347,26.0999,0.468628,24.5327,0.489618,44.571,0.729198,4.50862,0.224556,6.97252,0.236439,0.17592,1.25049,1.81099,1.17634,0.64595,0.636825,1.59169,3.75935,1.17361,1.25268e-09,6.21225e-10,0.0705899,0.142342,0.356234,0.435903,2.53222,3.66721,1.17634,1.10309,1.08751,2.71813,6.41986,1.17361,9.3268e-09,5.69361e-09,0.731858,1.19887
0.35,4,0.7,0.675,20.8848,0.311628,49.5883,0.645949,41.609,0.637645,79.0929,0.971377,7.34053,0.286528,12.8034,0.320396,0.383363,2.80921,3.21447,1.1987,1.5342,1.53631,3.8947,7.52528,1.19224,9.13527e-10,4.42012e-10,2.27052,4.69258,0.763777,0.938475,5.59682,6.40423,1.1987,2.44703,2.4504,6.21202,12.0028,1.19224,8.38305e-09,5.02398e-09,32.9671,55.009
0.35,4,0.7,0.725,18.4443,0.292855,47.1233,0.629689,38.6386,0.614463,73.3065,0.93517,6.69694,0.273679,11.9017,0.308909,0.419581,3.16606,2.9285,1.22124,1.79204,1.82262,4.68185,7.57713,1.2078,8.09824e-10,3.88827e-10,1.71659,3.5752,0.87897,1.08569,6.63252,6.13485,1.22124,2.78776,2.83533,7.28324,11.7872,1.2078,7.31139e-09,4.29685e-09,57.8056,98.3603
0.35,4,0.7,0.775,9.35196,0.208532,24.0826,0.450153,18.5058,0.425245,37.6248,0.669971,3.34738,0.193489,6.13202,0.221731,0.259033,2.00744,1.53433,1.24395,1.10827,1.14366,2.97231,4.12178,1.22027,9.24092e-10,4.49998e-10,0.250832,0.515095,0.512577,0.636602,3.97235,3.03616,1.24395,1.73148,1.78676,4.64371,6.43957,1.22027,6.70591e-09,3.9067e-09,50.0968,85.9918
0.35,4,0.7,0.825,0.124189,0.0240305,0.255295,0.0463479,0.204449,0.0446969,0.389638,0.0681789,0.0336554,0.0194013,0.0468526,0.0193817,0.0041237,0.0327246,0.0210853,1.26685,0.0140185,0.0146578,0.0384847,0.0466759,1.22967,0,0,0,0,0.00678876,0.00847631,0.0538737,0.0347123,1.26685,0.0213953,0.022371,0.0587363,0.0712379,1.22967,6.68556e-09,3.91005e-09,25.2051,43.0967
0.35,4,0.7,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,7.80201e-09,4.63343e-09,0.273778,0.461003
0.35,4,0.7,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0
0.35,4,0.7,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0
0.45,4,0.4,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869295,0,-0,0,-0,0.71206,0,0,0,0,0,-0,0,0,0.869295,0,-0,0,-0,0.71206,0,0,0,0
0.45,4,0.4,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910998,0,-0,0,-0,0.784651,0,0,0,0,0,-0,0,0,0.910998,0,-0,0,-0,0.784651,0,0,0,0
0.45,4,0.4,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950111,0,-0,0,0,0.850961,0,0,0,0,0,-0,0,0,0.950111,0,-0,0,0,0.850961,0,0,0,0
0.45,4,0.4,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986636,0,-0,0,0,0.91099,0,0,0,0,0,-0,0,0,0.986636,0,-0,0,0,0.91099,0,0,0,0
0.45,4,0.4,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02057,0,-0,0,0,0.964737,0,0,0,0,0,-0,0,0,1.02057,0,-0,0,0,0.964737,0,0,0,0
0.45,4,0.4,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05192,0,-0,0,0,1.0122,0,0,0,0,0,-0,0,0,1.05192,0,-0,0,0,1.0122,0,0,0,0
0.45,4,0.4,0.325,5.84754,0.15768,11.457,0.339775,12.9606,0.343068,18.9984,0.558521,2.28415,0.152472,2.67624,0.195614,0.0187857,0.167675,0.664318,1.08068,0.125028,0.0399422,0.216216,1.08888,1.05339,0,0,0,0,0.0416371,0.0183463,0.371639,1.47241,1.08068,0.207326,0.0662335,0.358537,1.80562,1.05339,0,0,0,0
0.45,4,0.4,0.375,35.695,0.389576,72.9276,0.857238,76.8647,0.83547,115.864,1.37929,12.043,0.350102,16.2717,0.482341,0.154725,1.19615,4.24199,1.10684,0.921612,0.675915,1.61177,7.72924,1.08829,5.64046e-09,3.35272e-09,5.00315,8.41706,0.333182,0.383964,2.57577,9.13459,1.10684,1.46422,1.07386,2.56072,12.2799,1.08829,1.81226e-08,1.25415e-08,21.4188,30.9504
0.45,4,0.4,0.425,38.6687,0.40548,81.7018,0.907343,84.8654,0.877875,126.945,1.44374,11.5433,0.342761,17.6835,0.502831,0.220426,1.60914,4.73546,1.13042,1.2208,1.26699,2.18822,9.24697,1.11692,4.20867e-09,2.40897e-09,19.7009,34.419,0.483765,0.715935,3.53155,10.3928,1.13042,1.89683,1.9686,3.39997,14.3676,1.11692,1.62288e-08,1.09548e-08,109.571,162.321
0.45,4,0.4,0.475,15.1656,0.253933,34.4952,0.58957,32.752,0.545363,50.2334,0.908191,5.16565,0.229292,7.25943,0.322173,0.110857,0.80353,1.88771,1.15142,0.61495,0.765927,1.13552,4.02297,1.13926,3.3947e-09,1.85223e-09,13.3158,24.4047,0.239409,0.384441,1.73532,4.07675,1.15142,0.895516,1.11538,1.65359,5.85842,1.13926,1.47437e-08,9.61582e-09,111.138,170.404
0.45,4,0.4,0.525,1.45245,0.0785851,3.50063,0.187814,3.2707,0.172341,5.44821,0.299094,0.291898,0.0545058,0.483565,0.0831506,0.0133085,0.0982167,0.181373,1.16982,0.0745364,0.102769,0.141796,0.407187,1.15532,2.87543e-09,1.50125e-09,1.67997,3.21774,0.0299688,0.048736,0.221169,0.408425,1.16982,0.116005,0.159945,0.220685,0.633726,1.15532,1.26534e-08,7.93868e-09,38.8464,61.9172
