Q2,Q2_corr,Q2_corr_err,xbj,xbj_corr,xbj_corr_err,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p_corr,shms_dp_corr
4,3.42531,0.00856909,0.375000,0.377804,0.000100051,0.425000,0.421785,9.41732e-05,140,7.55094,1.35396,6.85646,0.740281,0.723667,0.0304433,21.8119,29.4644,20.078,0.643839,29.1512,0.843669,131.166,72.0861,0.150454,0.149404,1.4157,0.372498,0.613509,1.4157,30.3874,27.5541,46.2632,44.2233,6.5282,4.0325,0.367874,0.409866,2.03843,10.886
4,3.71295,0.0185584,0.425000,0.425281,0.000103295,0.425000,0.42295,0.000100111,140,5.28964,0.75869,4.94048,0.67706,0.664447,0.0263747,26.562,39.2314,24.6397,0.756929,37.9027,1.04197,131.166,72.0861,0.22932,0.618416,1.29194,0.54593,1.81592,1.29194,36.8546,33.0111,56.5877,51.2645,5.90369,3.6621,0.408144,0.405383,1.96778,7.04273
4,3.98549,0.0237914,0.475000,0.472917,0.000101558,0.425000,0.423462,0.00010223,140,6.73961,1.2678,6.35891,0.72066,0.710394,0.0329757,21.6955,30.105,19.0407,0.724194,28.3638,0.942218,131.166,72.0861,0.0875945,0.234657,0.850546,0.524921,0.960526,0.850546,24.2278,20.9033,37.4406,33.4278,5.32653,3.3105,0.451209,0.403501,1.90128,3.42494
4,4.29789,0.0171527,0.525000,0.519784,9.12577e-05,0.425000,0.422699,9.99474e-05,140,5.68156,1.49562,5.40435,0.690133,0.680999,0.0478688,10.1446,14.6995,8.66725,0.514953,12.7624,0.694827,131.166,72.0861,0.0858493,0.105269,0.363748,0.248012,0.420672,0.363748,9.83942,8.22116,15.2411,12.5393,4.85414,3.0195,0.492668,0.399446,1.86189,1.28261
4,3.36803,0.00397947,0.375000,0.383324,7.28635e-05,0.475000,0.459733,3.2688e-05,140,3.72773,1.33712,3.35875,0.611788,0.592322,0.067172,2.76174,4.51422,2.65889,0.223635,4.36424,0.334726,131.166,72.0861,0.0231319,0.0385119,0.207652,0.0313771,0.156055,0.207652,4.18136,3.93231,6.52969,6.04163,6.30375,3.70453,0.369322,0.44348,2.15372,17.157
4,3.61032,0.00875976,0.425000,0.427973,9.80466e-05,0.475000,0.468129,7.97543e-05,140,5.37239,1.25245,4.94119,0.679911,0.664474,0.0427743,9.64165,14.1808,8.86073,0.438192,13.6853,0.616881,131.166,72.0861,0.118788,0.1339,0.575282,0.423594,0.520769,0.575282,13.3395,11.9094,21.126,18.981,5.71172,3.33286,0.410075,0.448281,2.10472,14.4917
4,3.90899,0.0177669,0.475000,0.473384,9.86274e-05,0.475000,0.469604,8.8629e-05,140,4.13644,0.859164,3.75168,0.631289,0.612987,0.0389339,10.0358,15.8974,9.49034,0.453073,15.3657,0.667979,131.166,72.0861,0.0902044,0.187226,0.725829,0.481171,0.730276,0.725829,12.2039,11.2032,19.5206,17.3802,5.23153,3.05186,0.450393,0.446344,2.06585,12.3775
4,4.30312,0.0162695,0.525000,0.514799,6.03255e-05,0.475000,0.463638,4.95711e-05,140,5.20696,2.07338,4.89698,0.67416,0.662807,0.0733784,3.30805,4.90693,2.85021,0.261216,4.59573,0.367587,131.166,72.0861,0.0281165,0.0506936,0.12676,0.0935719,0.18972,0.12676,3.60274,3.01829,5.78035,5.08005,4.93661,2.90335,0.475108,0.427395,2.06514,12.3389
4,3.17487,0.0026324,0.325000,0.337675,3.54773e-05,0.425000,0.430809,6.14621e-05,130,3.55428,1.05989,3.28231,0.602874,0.588043,0.0557181,4.71969,7.82865,4.45873,0.324897,8.04435,0.48277,154.833,64.4966,0.0363746,0.089837,0.247772,0.264217,0.364161,0.247772,10.4435,9.58682,15.8344,14.9997,7.11157,4.30789,0.327315,0.4176,2.15908,-6.10208
4,3.46098,0.0105116,0.375000,0.374033,9.96856e-05,0.425000,0.434398,5.24958e-05,130,3.45638,0.66807,3.18511,0.59766,0.58247,0.0360485,11.3664,19.0182,10.8868,0.510495,18.5788,0.765678,154.833,64.4966,0.383732,0.0821652,0.620004,0.555931,0.2928,0.620004,19.2199,17.6211,29.5816,27.5781,6.67622,4.03983,0.360952,0.41968,2.14207,-6.84178
4,3.91231,0.0126759,0.425000,0.423472,9.97137e-05,0.425000,0.434707,5.43285e-05,130,3.14495,0.777726,2.87765,0.580123,0.563804,0.0457035,7.40225,12.7598,6.64986,0.433693,12.1724,0.672038,154.833,64.4966,0.246686,0.0306814,0.404705,0.926294,0.128643,0.404705,12.9789,11.1734,20.2565,17.6493,6.20943,3.77002,0.407158,0.418457,2.13992,-6.9354
4,4.25457,0.00668749,0.475000,0.468133,8.42978e-05,0.425000,0.438317,3.20747e-05,130,6.1786,2.93914,5.87713,0.705264,0.696268,0.085107,3.34345,4.7407,2.94099,0.276756,4.54851,0.416276,154.833,64.4966,0.109524,0.00812256,0.11372,0.4384,0.0310156,0.11372,3.3638,2.84053,5.29951,4.55991,5.71867,3.46369,0.447675,0.419539,2.12303,-7.6698
4,3.17474,0.0024965,0.325000,0.338493,3.39881e-05,0.475000,0.474215,0.000102799,130,4.41438,1.20016,3.81635,0.643467,0.616189,0.0508529,6.24106,9.69911,5.87311,0.336917,9.0151,0.559814,154.833,64.4966,0.237656,0.0790215,0.67669,0.521794,0.331302,0.67669,12.3326,10.9797,19.2205,16.1745,7.08877,4.01972,0.328309,0.459294,2.37193,3.15446
4,3.42534,0.00862766,0.375000,0.376723,9.93627e-05,0.475000,0.473829,0.00010157,130,4.68645,0.712604,4.1715,0.654634,0.63287,0.0283325,21.3073,32.5483,20.8528,0.649472,33.4312,1.00006,154.833,64.4966,0.956468,0.286525,1.74657,2.03297,1.14896,1.74657,33.5991,30.9225,53.1049,49.3538,6.55401,3.74706,0.36341,0.456832,2.29783,-0.0678851
4,3.7505,0.0188607,0.425000,0.424236,0.000101909,0.475000,0.475724,9.87998e-05,130,3.92686,0.555992,3.57089,0.62154,0.603745,0.0265453,24.3022,39.1,21.7137,0.736187,35.3634,1.17715,154.833,64.4966,0.920265,0.17427,1.52701,2.03389,0.677783,1.52701,34.7505,29.484,55.6466,46.4695,5.97488,3.42796,0.407211,0.456406,2.24182,-2.50397
4,4.09661,0.0191823,0.475000,0.471643,9.79792e-05,0.475000,0.477697,9.38567e-05,130,2.85399,0.490531,2.57583,0.562299,0.543784,0.0313257,13.5983,24.1834,12.0329,0.56662,22.32,0.894243,154.833,64.4966,0.427124,0.0501499,0.814547,1.14067,0.207626,0.814547,17.1705,14.5912,27.7886,24.098,5.47352,3.1409,0.450403,0.455903,2.21099,-3.84473
4,4.42346,0.00799994,0.525000,0.513888,5.67628e-05,0.475000,0.473583,8.48405e-05,130,6.27352,2.83419,5.77946,0.707987,0.693234,0.0805585,3.56066,5.02928,2.92943,0.286715,4.53642,0.404322,154.833,64.4966,0.0291897,0.0123148,0.166618,0.0622451,0.0477455,0.166618,3.2996,2.67618,5.36622,4.72298,5.06739,2.92971,0.485404,0.443271,2.17276,-5.50731
4,3.17271,0.00244193,0.325000,0.338477,3.41682e-05,0.525000,0.522005,8.81381e-05,130,5.98924,2.17649,4.97863,0.699677,0.665873,0.0654354,4.08031,5.83171,4.12615,0.25197,6.59834,0.409593,154.833,64.4966,0.218395,0.171727,0.504352,0.370824,0.690325,0.504352,8.31499,7.61339,13.3352,12.6618,7.08528,3.71433,0.327865,0.506366,2.6101,13.5125
4,3.42281,0.00871782,0.375000,0.377028,9.75632e-05,0.525000,0.523519,0.000102585,130,3.51067,0.505405,3.0499,0.600568,0.574462,0.0268784,17.65,29.3888,16.3382,0.552518,28.9729,0.94001,154.833,64.4966,0.78309,0.227153,1.54207,2.24201,0.914684,1.54207,26.525,23.0354,43.2557,37.9973,6.54234,3.45409,0.360557,0.502916,2.53567,10.2755
4,3.72278,0.0195818,0.425000,0.425269,0.000104177,0.525000,0.523163,0.000100049,130,3.49109,0.473417,3.13414,0.599524,0.579487,0.025309,21.9406,36.5966,19.9257,0.651743,35.1371,1.09774,154.833,64.4966,1.20528,0.217074,1.46987,3.42465,0.837809,1.46987,31.3001,26.3966,51.7922,43.6944,5.91681,3.15361,0.407785,0.501666,2.44281,6.23723
