Q2,Q2_corr,xbj,xbj_corr,z,z_corr,RunGroup,y_RD,error_RD,y_RD_rho,yield_neg,yield_pos,charge_neg,charge_pos,yield_neg_rho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp,Residual
4.0,4.00886,0.475,0.472765,0.425,0.425069,140.0,6.92656,1.36102,6.54296,20.2361,27.895,131.166,72.0861,0.764771,0.764771,22.441,19.2616,34.7188,31.0228,5.35522,3.32073,0.451364,0.4054,1.91992,4.43909,1.6581931447041727
4.0,4.31919,0.525,0.520838,0.425,0.42614,140.0,6.96672,2.01075,6.62532,10.3074,14.1889,131.166,72.0861,0.349062,0.349062,9.27126,7.54302,14.3892,11.8446,4.85785,3.00641,0.494674,0.403999,1.88219,2.38666,1.0990205541494524
4.0,4.59714,0.575,0.564401,0.425,0.425448,140.0,3.02011,1.40079,2.85603,2.09679,3.66152,131.166,72.0861,0.0757604,0.0757604,2.18365,1.89626,3.38789,2.89902,4.43119,2.74274,0.52431,0.381969,1.8455,0.390688,-1.3438416569147746
4.0,3.36841,0.375,0.38336,0.475,0.459745,140.0,3.94311,1.41415,3.57009,2.86082,4.59708,131.166,72.0861,0.207652,0.207652,4.15399,3.90345,6.48688,6.00471,6.3036,3.70458,0.369295,0.443526,2.15384,17.1639,-0.3148650335066867
4.0,3.61024,0.425,0.427916,0.475,0.468126,140.0,5.50246,1.29708,5.09219,9.74158,14.236,131.166,72.0861,0.542263,0.542263,13.1967,11.7525,20.9003,18.6999,5.71273,3.33376,0.410043,0.448312,2.10494,14.5036,0.9100559527645387
4.0,3.90905,0.475,0.474149,0.475,0.470455,140.0,4.31478,0.874818,3.92242,10.8655,16.9987,131.166,72.0861,0.767815,0.767815,12.266,11.2,19.6306,17.4348,5.2187,3.04041,0.451696,0.447777,2.06627,12.4004,-0.03302766175219601
4.0,4.27232,0.525,0.521155,0.475,0.470105,140.0,4.2273,1.05088,3.97345,7.13591,11.2313,131.166,72.0861,0.281967,0.281967,6.61312,5.58078,10.6587,9.2012,4.80826,2.80033,0.49219,0.442971,2.05341,11.7008,-0.1989956545723041
4.0,3.76621,0.475,0.474756,0.525,0.510484,140.0,3.8806,1.81186,3.6165,1.86299,3.00813,131.166,72.0861,0.0936849,0.0936849,1.33147,1.14505,2.19002,1.79632,5.04938,2.77488,0.421932,0.47654,2.15829,17.4059,-0.08212849979766149
4.0,3.17414,0.325,0.336394,0.425,0.442112,130.0,4.9011,2.61749,4.30984,1.73763,2.62101,154.833,64.4966,0.116298,0.116298,3.95077,3.42545,6.02885,6.28533,7.14544,4.25289,0.325674,0.428814,2.22398,-3.27981,0.12772924787011522
4.0,3.51687,0.375,0.373637,0.425,0.442773,130.0,3.10823,1.23627,2.74735,2.5893,4.48012,154.833,64.4966,0.198361,0.198361,5.55358,4.80428,8.60259,7.39428,6.77882,4.0427,0.360483,0.428085,2.22146,-3.38939,-1.1405354792876046
