xbj,Q2,z,zi,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,xs_H2_pos,xs_H2_neg,y_H2_neg_incnorad_yield,y_H2_pos_incnorad_yield,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad,xs_D2_pos,xs_D2_neg,y_D2_neg_incnorad_yield,y_D2_pos_incnorad_yield
0.35,4,0.5,0.525,56.9065,0.50439,86.8246,0.648944,126.977,1.1742,140.724,1.63867,19.2593,0.3876,22.13,0.5212,0.356681,3.03717,120.674,1.28042,1.58322,0.751346,4.8441,102.259,1.26075,2.15013e-09,1.1224e-09,16.4419,31.4968,1.26727,1.94373,8.00945,22.7695,1.12705,2.46696,2.32856,5.4043,17.4429,1.11776,1.10532e-08,6.98678e-09,117.312,185.588
0.35,4,0.5,0.575,45.2828,0.449938,63.0997,0.553222,95.0045,1.01567,102.019,1.39524,15.7224,0.350206,16.2618,0.446784,0.414187,2.85143,154.559,1.30565,1.7092,0.78676,3.66296,104.601,1.28671,1.53751e-09,7.74327e-10,12.481,24.7823,1.20387,1.87893,7.84498,19.1545,1.15021,2.19697,2.16229,5.0362,12.8581,1.14325,9.59686e-09,5.91053e-09,117.602,190.948
0.35,4,0.5,0.625,18.3567,0.286473,25.9134,0.354526,37.577,0.638763,40.4031,0.878041,6.00142,0.216367,6.33271,0.27881,0.234784,1.33769,93.9158,1.32761,1.00448,0.448326,1.45832,58.9668,1.31084,1.21663e-09,5.96727e-10,6.59395,13.444,0.597799,0.928604,4.01727,8.50294,1.17358,1.06155,1.08224,2.54608,5.22929,1.16656,8.63787e-09,5.2042e-09,85.3123,141.6
0.35,4,0.5,0.675,1.75431,0.0885603,2.95462,0.119712,4.27745,0.215512,4.97914,0.308237,0.793523,0.0786763,0.595342,0.0854863,0.030171,0.145747,12.6828,1.34629,0.15737,0.0684019,0.149122,8.95623,1.33313,9.85272e-10,4.69751e-10,0.873139,1.83135,0.084228,0.128803,0.582063,1.08353,1.19713,0.158078,0.165908,0.395137,0.667836,1.18769,7.35325e-09,4.30102e-09,33.8517,57.8745
0.35,4,0.5,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3617,0,0,0,0,1.35359,1.42106e-09,6.682e-10,0.000346702,0.000737331,0,0,0,0,1.22088,0,0,0,0,1.20665,6.60452e-09,3.7716e-09,3.78139,6.62167
0.35,4,0.5,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37383,0,0,0,0,1.37222,0,0,0,0,0,0,0,0,1.24483,0,0,0,0,1.22342,0,0,0,0
0.35,4,0.5,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38269,0,0,0,0,1.38901,0,0,0,0,0,0,0,0,1.26897,0,0,0,0,1.23803,0,0,0,0
0.35,4,0.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38828,0,0,-0,0,1.40397,0,0,0,0,0,0,0,0,1.29331,0,0,0,0,1.25045,0,0,0,0
0.35,4,0.5,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39059,0,0,-0,0,1.4171,0,0,0,0,0,0,0,0,1.31785,0,0,0,0,1.2607,0,0,0,0
0.35,4,0.5,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38962,0,0,-0,0,1.42839,0,0,0,0,0,0,0,0,1.34258,0,0,0,0,1.26877,0,0,0,0
0.35,4,0.6,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.847952,0,0,-0,0,0.900297,0,0,0,0,0,-0,0,0,0.906153,0,0,0,0,0.74317,0,0,0,0
0.35,4,0.6,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.905936,0,0,-0,0,0.944593,0,0,0,0,0,-0,0,0,0.927362,0,0,0,0,0.790426,0,0,0,0
0.35,4,0.6,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.960645,0,0,-0,0,0.987055,0,0,0,0,0,-0,0,0,0.948768,0,0,0,0,0.835504,0,0,0,0
0.35,4,0.6,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,1.01208,0,0,-0,0,1.02768,0,0,0,0,0,-0,0,0,0.970369,0,0,0,0,0.878406,0,0,0,0
0.35,4,0.6,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06024,0,0,-0,0,1.06648,0,0,0,0,0,-0,0,0,0.992165,0,0,0,0,0.919131,0,0,0,0
0.35,4,0.6,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10512,0,0,-0,0,1.10344,0,0,0,0,0,-0,0,0,1.01416,0,0,0,0,0.957679,0,0,0,0
0.35,4,0.6,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14673,0,0,0,0,1.13857,0,0,0,0,0,0,0,0,1.03634,0,0,0,0,0.99405,0,0,0,0
0.35,4,0.6,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18506,0,0,0,0,1.17186,0,0,0,0,0,0,0,0,1.05873,0,0,0,0,1.02824,0,0,0,0
0.35,4,0.6,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22012,0,0,0,0,1.20333,0,0,0,0,0,0,0,0,1.08131,0,0,0,0,1.06026,0,0,0,0
0.35,4,0.6,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25191,0,0,0,0,1.23295,0,0,0,0,0,0,0,0,1.10408,0,0,0,0,1.0901,0,0,0,0
0.35,4,0.6,0.525,21.559,0.313084,31.1755,0.462229,50.0731,0.754589,52.7497,0.816858,8.65542,0.288242,8.45456,0.265374,0.135128,1.15063,45.7174,1.28042,0.568476,0.269781,1.73934,36.7175,1.26075,0,0,0,0,0.499744,0.766503,3.15851,8.97911,1.12705,0.924728,0.872851,2.02577,6.53839,1.11776,0,0,0,0
0.35,4,0.6,0.575,52.3738,0.487981,69.52,0.690248,107.538,1.10583,114.983,1.20601,19.0089,0.427162,17.8761,0.385878,0.479046,3.29795,178.762,1.30565,1.88311,0.866811,4.03566,115.243,1.28671,1.80213e-09,9.19984e-10,5.36374,10.5069,1.36269,2.12682,8.87996,21.6815,1.15021,2.47614,2.43705,5.67615,14.4919,1.14325,1.06056e-08,6.59927e-09,43.9577,70.6434
0.35,4,0.6,0.625,52.3661,0.487946,70.7859,0.696505,112.783,1.13248,112.567,1.19328,18.4262,0.420564,17.0767,0.377151,0.669769,3.81603,267.914,1.32761,2.74388,1.22466,3.9836,161.076,1.31084,1.22426e-09,6.03446e-10,8.07923,16.391,1.79423,2.7871,12.0574,25.5206,1.17358,2.95758,3.01523,7.0936,14.5692,1.16656,8.90802e-09,5.39194e-09,97.5576,161.174
0.35,4,0.6,0.675,41.6267,0.435043,55.5167,0.616826,90.8489,1.01641,91.2639,1.07445,14.8363,0.377378,13.7781,0.338772,0.715903,3.45832,300.939,1.34629,2.95694,1.28526,2.80198,168.285,1.33313,1.03541e-09,5.03353e-10,4.66766,9.60146,1.78892,2.73564,12.3624,23.0132,1.19713,2.89745,3.04097,7.24256,12.2409,1.18769,7.80525e-09,4.63235e-09,93.4306,157.425
0.35,4,0.6,0.725,16.6747,0.275344,23.8097,0.40395,39.0663,0.666513,36.3893,0.678459,6.17239,0.243411,5.75207,0.21889,0.373029,1.56061,162.631,1.3617,1.68059,0.714723,0.967454,93.4501,1.35359,1.02672e-09,5.00792e-10,1.68317,3.45081,0.938341,1.40549,6.64448,11.0445,1.22088,1.38122,1.48462,3.58034,5.09934,1.20665,7.31376e-09,4.2915e-09,73.119,124.612
0.35,4,0.6,0.775,0.242666,0.0332163,0.409311,0.0529636,0.514688,0.0765033,0.420027,0.0728912,0.0830992,0.0282431,0.0620761,0.0269589,0.00686944,0.0253363,3.07875,1.37383,0.0371368,0.0155141,0.0109542,2.02871,1.37222,1.22159e-09,6.00923e-10,0.0529841,0.107709,0.0148708,0.0217752,0.107531,0.16186,1.24483,0.0188594,0.0206734,0.0504499,0.0619314,1.22342,7.31589e-09,4.25684e-09,29.7556,51.1386
0.35,4,0.6,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38269,0,0,0,0,1.38901,0,0,0,0,0,0,0,0,1.26897,0,0,0,0,1.23803,8.94266e-09,5.21836e-09,0.458072,0.784994
0.35,4,0.6,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38828,0,0,-0,0,1.40397,0,0,0,0,0,0,0,0,1.29331,0,0,0,0,1.25045,0,0,0,0
0.35,4,0.6,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39059,0,0,-0,0,1.4171,0,0,0,0,0,0,0,0,1.31785,0,0,0,0,1.2607,0,0,0,0
0.35,4,0.6,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38962,0,0,-0,0,1.42839,0,0,0,0,0,0,0,0,1.34258,0,0,0,0,1.26877,0,0,0,0
0.35,4,0.7,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.847952,0,0,-0,0,0.900297,0,0,0,0,0,-0,0,0,0.906153,0,0,0,0,0.74317,0,0,0,0
0.35,4,0.7,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.905936,0,0,-0,0,0.944593,0,0,0,0,0,-0,0,0,0.927362,0,0,0,0,0.790426,0,0,0,0
0.35,4,0.7,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.960645,0,0,-0,0,0.987055,0,0,0,0,0,-0,0,0,0.948768,0,0,0,0,0.835504,0,0,0,0
0.35,4,0.7,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,1.01208,0,0,-0,0,1.02768,0,0,0,0,0,-0,0,0,0.970369,0,0,0,0,0.878406,0,0,0,0
0.35,4,0.7,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06024,0,0,-0,0,1.06648,0,0,0,0,0,-0,0,0,0.992165,0,0,0,0,0.919131,0,0,0,0
0.35,4,0.7,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10512,0,0,-0,0,1.10344,0,0,0,0,0,-0,0,0,1.01416,0,0,0,0,0.957679,0,0,0,0
0.35,4,0.7,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14673,0,0,0,0,1.13857,0,0,0,0,0,0,0,0,1.03634,0,0,0,0,0.99405,0,0,0,0
0.35,4,0.7,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18506,0,0,0,0,1.17186,0,0,0,0,0,0,0,0,1.05873,0,0,0,0,1.02824,0,0,0,0
0.35,4,0.7,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22012,0,0,0,0,1.20333,0,0,0,0,0,0,0,0,1.08131,0,0,0,0,1.06026,0,0,0,0
0.35,4,0.7,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25191,0,0,0,0,1.23295,0,0,0,0,0,0,0,0,1.10408,0,0,0,0,1.0901,0,0,0,0
0.35,4,0.7,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28042,0,0,0,0,1.26075,0,0,0,0,0,0,0,0,1.12705,0,0,0,0,1.11776,0,0,0,0
0.35,4,0.7,0.575,2.34763,0.104481,2.47158,0.14421,4.78017,0.216126,4.40661,0.229283,0.868694,0.0985682,0.813191,0.080746,0.021473,0.147829,8.01291,1.30565,0.0669485,0.030817,0.143476,4.09715,1.28671,0,0,0,0,0.0605729,0.0945388,0.394722,0.963761,1.15021,0.0948958,0.093398,0.217533,0.555391,1.14325,0,0,0,0
0.35,4,0.7,0.625,31.0577,0.38002,35.8686,0.549371,62.203,0.779634,59.7063,0.843974,10.7179,0.346225,9.65879,0.278283,0.397231,2.26324,158.896,1.32761,1.39038,0.620559,2.01857,81.6202,1.31084,1.38307e-09,6.92516e-10,0.33558,0.670207,0.989565,1.53716,6.64998,14.0753,1.17358,1.56873,1.5993,3.76251,7.72765,1.16656,9.6636e-09,5.94291e-09,3.41606,5.55476
0.35,4,0.7,0.675,48.9741,0.477205,59.7504,0.709054,97.2021,0.974592,97.2088,1.07689,16.8492,0.434104,15.2805,0.350021,0.842266,4.06874,354.057,1.34629,3.18244,1.38327,3.01566,181.119,1.33313,1.0432e-09,5.10577e-10,3.48856,7.12775,1.91402,2.92695,13.227,24.6226,1.19713,3.08619,3.23906,7.71434,13.0383,1.18769,8.52041e-09,5.13136e-09,49.1274,81.5739
0.35,4,0.7,0.725,38.6778,0.424084,49.1949,0.643381,82.5259,0.898008,75.2956,0.947772,13.7839,0.392635,11.8722,0.308525,0.865256,3.6199,377.23,1.3617,3.47239,1.47674,1.99892,193.084,1.35359,9.88224e-10,4.8267e-10,1.97195,4.03738,1.98221,2.96905,14.0362,23.3312,1.22088,2.85798,3.07193,7.40832,10.5514,1.20665,7.42023e-09,4.37363e-09,79.5288,134.927
0.35,4,0.7,0.775,11.5891,0.232138,13.4602,0.336538,23.9135,0.4834,21.0984,0.5017,3.92945,0.209638,3.41327,0.165428,0.328066,1.20999,147.033,1.37383,1.22124,0.510181,0.360228,66.7139,1.37222,1.16377e-09,5.77458e-10,0.206665,0.416499,0.690927,1.01172,4.99609,7.52034,1.24483,0.947326,1.03845,2.53415,3.11088,1.22342,7.12853e-09,4.18547e-09,60.0012,102.191
0.35,4,0.7,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38269,0,0,0,0,1.38901,0,0,0,0,0,0,0,0,1.26897,0,0,0,0,1.23803,7.27361e-09,4.33158e-09,16.1354,27.0946
0.35,4,0.7,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38828,0,0,-0,0,1.40397,0,0,0,0,0,0,0,0,1.29331,0,0,0,0,1.25045,9.486e-09,5.80726e-09,0.00470502,0.00768553
0.35,4,0.7,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39059,0,0,-0,0,1.4171,0,0,0,0,0,0,0,0,1.31785,0,0,0,0,1.2607,0,0,0,0
0.35,4,0.7,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38962,0,0,-0,0,1.42839,0,0,0,0,0,0,0,0,1.34258,0,0,0,0,1.26877,0,0,0,0
0.45,4,0.4,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948752,0,0,-0,0,0.940069,0,0,0,0,-0,-0,0,0,0.743465,-0,-0,0,0,0.727019,0,0,0,0
0.45,4,0.4,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99748,0,0,-0,0,0.989045,0,0,0,0,-0,-0,0,0,0.806493,-0,-0,0,0,0.790528,0,0,0,0
0.45,4,0.4,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04357,0,0,-0,0,1.03506,0,0,0,0,-0,-0,0,0,0.864825,-0,-0,0,0,0.849102,0,0,0,0
