Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,RY_noexc,RY_nodelta,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,4.60068,0.0108579,0.35,0.425000,0.41841,8.86693e-05,0.5,0.475000,0.482444,6.81074e-05,90,3.10905,0.774362,2.96766,0.578003,0.569439,0.562289,0.566617,0.567125,0.0459666,7.06248,12.2188,7.11968,0.417007,12.4278,0.650943,111.463,62.5913,0.0190778,0.0314333,0.235403,0.0807624,0.0922708,0.235403,7.71853,6.81565,12.624,10.4487,7.28092,4.05919,0.404496,0.46697,2.82928,-6.83705
4,4.96721,0.00625134,0.35,0.475000,0.465726,7.80329e-05,0.5,0.475000,0.489516,2.41687e-05,90,1.0898,0.748655,1.04258,0.410585,0.405067,0.400565,0.402358,0.404896,0.0866966,0.99138,2.41455,0.994268,0.171314,2.4388,0.292997,111.463,62.5913,0.00111662,0.00136792,0.0205039,0.0152584,0.0039003,0.0205039,0.994215,0.855258,1.64852,1.30266,6.5836,3.61772,0.448156,0.472187,2.78498,-8.29578
4,3.37478,0.00773973,0.35,0.275000,0.282293,7.14232e-05,0.5,0.525000,0.523726,0.000102534,90,7.20832,1.34206,6.42699,0.732342,0.712285,0.69417,0.709395,0.695828,0.0320488,18.4484,25.191,19.2872,0.563078,27.0377,0.790026,111.463,62.5913,0.425252,0.343532,1.50729,0.706928,1.03342,1.50729,22.4285,20.5573,35.3824,33.3442,9.46873,4.87143,0.276437,0.512994,3.34261,10.0661
4,3.77274,0.0151923,0.35,0.325000,0.326016,0.000101644,0.5,0.525000,0.523635,0.000104186,90,4.88662,0.604915,4.41319,0.662414,0.643417,0.626614,0.633349,0.63236,0.0229796,32.1615,48.5519,34.1958,0.798069,53.3007,1.17701,111.463,62.5913,1.09873,0.722192,2.30981,2.39206,1.86404,2.30981,44.9187,40.2062,72.476,64.9567,8.68905,4.50365,0.315121,0.509311,3.23524,6.53053
4,4.15161,0.0188982,0.35,0.375000,0.373147,9.97632e-05,0.5,0.525000,0.523682,0.000102385,90,5.76989,0.844619,5.32929,0.692934,0.678432,0.665844,0.666186,0.672446,0.0265462,29.3466,42.3512,30.2995,0.796067,44.8815,1.14568,111.463,62.5913,0.482998,0.32579,1.58358,1.37245,0.799514,1.58358,34.2577,29.0768,56.325,48.3494,7.86177,4.09311,0.362413,0.508745,3.10993,2.40436
4,4.56322,0.0129612,0.35,0.425000,0.420549,9.43072e-05,0.5,0.525000,0.523983,0.000105096,90,5.32374,1.17772,4.93047,0.678241,0.664072,0.651849,0.661439,0.657402,0.0406426,12.5114,18.4469,12.7715,0.537652,19.0916,0.770402,111.463,62.5913,0.0845632,0.130125,0.623553,0.188865,0.351509,0.623553,13.2786,10.9604,22.1866,18.5949,7.17307,3.73297,0.406427,0.506828,3.03418,-0.0901011
4,4.95856,0.00689578,0.35,0.475000,0.467469,7.51822e-05,0.5,0.525000,0.523532,0.000100324,90,4.87942,2.04364,4.63617,0.66214,0.652624,0.6446,0.651955,0.65097,0.0777601,3.30586,4.99269,3.32256,0.281477,5.03563,0.403821,111.463,62.5913,0.00612159,0.00822863,0.120399,0.0134934,0.0229384,0.120399,2.55345,2.19402,4.32074,3.66591,6.53318,3.39196,0.449986,0.504324,2.96308,-2.43128
4,3.37598,0.00720251,0.35,0.275000,0.283121,6.69989e-05,0.5,0.575000,0.571045,8.41852e-05,90,9.0222,2.53647,7.23378,0.769624,0.732948,0.695048,0.725907,0.695627,0.0448727,10.4798,13.6168,11.1074,0.41623,15.2591,0.58123,111.463,62.5913,0.216295,0.353015,1.58897,0.41292,1.11452,1.58897,14.1471,12.8335,22.6981,21.1107,9.43646,4.44804,0.278221,0.560167,3.63524,19.7018
4,3.7628,0.0147333,0.35,0.325000,0.326299,0.000102465,0.5,0.575000,0.57289,9.89305e-05,90,4.67777,0.660526,4.0409,0.654289,0.626907,0.601797,0.623709,0.609983,0.0263145,21.9347,33.5244,24.0257,0.632725,37.9267,0.939543,111.463,62.5913,1.22804,0.633414,2.1438,2.13866,1.8313,2.1438,31.9946,28.4811,52.635,47.4664,8.65824,4.10421,0.318526,0.558882,3.52729,16.1471
4,4.13397,0.0189871,0.35,0.375000,0.372228,9.87416e-05,0.5,0.575000,0.573816,0.000104242,90,4.44323,0.650467,3.90667,0.644686,0.620574,0.59872,0.5976,0.610484,0.0273734,21.2245,32.9222,22.4418,0.645108,36.636,0.976095,111.463,62.5913,0.675695,0.364573,1.81606,2.12157,1.02212,1.81606,26.5337,22.6739,44.5919,37.7466,7.858,3.73981,0.361269,0.557635,3.40178,12.0142
4,4.56184,0.0136322,0.35,0.425000,0.420292,9.76519e-05,0.5,0.575000,0.573543,0.000101411,90,3.71308,0.815064,3.35577,0.61105,0.592157,0.575609,0.588514,0.584625,0.0411015,8.63848,14.1371,9.08531,0.426626,15.1551,0.645583,111.463,62.5913,0.220754,0.157954,0.567906,0.438874,0.410722,0.567906,10.3873,8.80377,17.7792,14.8375,7.17789,3.42017,0.406417,0.554617,3.32268,9.40981
