Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,3.46811,0.0114289,0.4,0.325000,0.324919,9.69697e-05,0.5,0.425000,0.434564,5.19358e-05,400,5.56039,0.957302,5.20162,0.686205,0.67397,0.663495,0.0314209,19.4457,28.338,18.3368,0.661494,27.4546,0.868583,120.391,75.3767,0.513649,0.171278,0.946925,0.932043,0.554349,0.946925,22.569,20.4871,34.6431,31.7461,8.09095,4.85153,0.316226,0.42316,2.47345,-6.89688
4,3.95927,0.0141787,0.4,0.375000,0.372514,9.88349e-05,0.5,0.425000,0.43573,5.11367e-05,400,7.5231,1.97392,7.1697,0.739653,0.731416,0.724488,0.0445976,12.5698,16.9942,11.542,0.557077,16.7149,0.694764,120.391,75.3767,0.352039,0.144843,0.419382,0.88111,0.378842,0.419382,14.7556,12.9658,23.0624,20.9736,7.55337,4.53713,0.361176,0.422737,2.4691,-7.06044
4,4.3463,0.00664624,0.4,0.425000,0.41707,7.52702e-05,0.5,0.425000,0.439968,2.79408e-05,400,6.95137,3.17342,6.64582,0.726062,0.718199,0.711621,0.07938,3.92552,5.40659,3.36269,0.319217,4.94782,0.395098,120.391,75.3767,0.100131,0.0107832,0.11345,0.24744,0.0360711,0.11345,3.64863,3.02241,5.78481,4.9906,6.96108,4.17134,0.403311,0.42479,2.44504,-7.96627
4,3.15994,0.00187024,0.4,0.275000,0.292054,1.77929e-05,0.5,0.475000,0.47376,0.000105194,400,7.98642,3.0322,6.83998,0.749717,0.723247,0.698278,0.063314,5.50094,7.33736,5.02883,0.331546,7.13937,0.434042,120.391,75.3767,0.169698,0.0747907,0.558422,0.267056,0.255293,0.558422,8.34952,7.26184,12.8617,11.599,8.54409,4.79847,0.285281,0.462471,2.73458,2.93229
4,3.44922,0.00976922,0.4,0.325000,0.327489,9.7572e-05,0.5,0.475000,0.473621,0.000103561,400,4.62373,0.570852,4.18614,0.652123,0.633527,0.617242,0.0230279,30.5963,46.918,29.3311,0.811918,46.487,1.09307,120.391,75.3767,1.38986,0.327676,2.07601,2.24007,1.02763,2.07601,40.278,36.3513,63.1549,58.1761,7.97163,4.50549,0.318271,0.46059,2.66194,0.198205
4,3.82592,0.0188201,0.4,0.375000,0.374063,0.000101054,0.5,0.475000,0.475417,9.84077e-05,400,3.87958,0.44166,3.59148,0.619269,0.60482,0.592434,0.0213404,34.799,56.1937,32.2839,0.91263,52.9329,1.25621,120.391,75.3767,1.16275,0.661377,1.81351,2.23976,1.77263,1.81351,45.6502,39.9579,72.8402,63.4124,7.28835,4.1341,0.362276,0.460279,2.59358,-2.37483
4,4.19506,0.0192986,0.4,0.425000,0.421723,0.000100885,0.5,0.475000,0.478182,9.67989e-05,400,3.91706,0.583268,3.62392,0.621071,0.606501,0.593957,0.0279166,21.5914,34.7648,19.2386,0.738882,31.0666,1.01316,120.391,75.3767,0.49183,0.33455,1.13909,1.1622,0.941569,1.13909,23.8959,20.3774,38.6865,32.2301,6.63824,3.76277,0.406468,0.460795,2.53627,-4.53229
4,4.54951,0.0125822,0.4,0.475000,0.469524,9.29895e-05,0.5,0.475000,0.481418,8.27072e-05,400,3.53207,0.889072,3.27376,0.601703,0.587559,0.575495,0.0470143,7.57404,12.5877,6.20947,0.459926,10.4139,0.61894,120.391,75.3767,0.0340229,0.0191464,0.351815,0.134756,0.0668372,0.351815,7.52122,6.11337,12.3294,10.0028,6.02566,3.40053,0.451165,0.462251,2.48701,-6.3864
4,3.44499,0.00994089,0.4,0.325000,0.327401,9.77045e-05,0.5,0.525000,0.523595,0.000103649,400,9.64621,1.83389,8.70509,0.780159,0.763874,0.749403,0.029544,27.57,35.339,26.5236,0.762073,37.9771,0.914748,120.391,75.3767,1.2499,0.516791,1.86012,2.64915,1.76303,1.86012,31.4323,28.2252,50.5637,48.0253,7.96588,4.14302,0.318325,0.50957,2.94083,10.6958
4,3.80329,0.0185374,0.4,0.375000,0.375446,0.000101828,0.5,0.525000,0.523491,0.000103751,400,6.29407,0.848404,5.79807,0.70857,0.693817,0.680844,0.0240187,34.9774,49.3634,32.7192,0.865339,47.4028,1.14388,120.391,75.3767,1.57377,0.372942,2.15132,3.19673,1.29431,2.15132,41.2266,36.2704,67.5779,58.7456,7.21462,3.78676,0.362962,0.506173,2.83024,6.53326
