Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,y_RD_1p5rho,y_RD_1p8rho,y_RD_2rho,RY,RY_rho,RY_1p5rho,RY_1p8rho,RY_noexc,RY_nodelta,error,yield_neg,yield_pos,radia_corr_neg,radia_corr_pos,yield_neg_data,yield_neg_D2_data,error_neg,yield_pos_data,yield_pos_D2_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_norho,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_norho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp,Kpi_pos,Kpi_neg
4,4.31243,0.00700317,0.35,0.375000,0.36567,6.76063e-05,0.5,0.425000,0.442005,1.90849e-05,90,5.43992,2.569,5.22385,5.11622,5.05177,5.00886,0.682201,0.674756,0.670916,0.668573,0.66835,0.669633,0.0864867,2.92241,4.2838,1.17661,1.1325,2.99103,2.61962,0.268403,4.45877,4.1047,0.374362,111.463,62.5913,0.0508967,0.00742483,2.48377,0.0773204,0.114635,0.0398665,3.7826,0.0773204,2.73723,2.32638,4.32696,3.82072,8.36744,4.95621,0.355733,0.430509,2.78095,-8.4283,0.0406453,0.0138612
4,3.37439,0.007503,0.35,0.275000,0.282367,7.09342e-05,0.5,0.475000,0.472198,0.000116702,90,5.02856,0.901176,4.3536,4.01828,3.81777,3.68438,0.667721,0.640873,0.625855,0.616259,0.63882,0.632925,0.0331661,15.7088,23.526,1.09059,1.06907,16.5284,15.7223,0.556935,25.1581,24.4405,0.81842,111.463,62.5913,0.482303,0.269268,14.4039,1.55781,0.835914,0.690803,22.0061,1.55781,19.2866,17.6846,29.7914,27.8667,9.46475,5.31387,0.276288,0.461947,3.01234,-0.809335,0.0442796,0.0167162
4,3.76794,0.0152687,0.35,0.325000,0.325524,0.00010035,0.5,0.475000,0.473117,0.000100554,90,5.12739,0.702086,4.72989,4.53159,4.41274,4.33358,0.671319,0.656353,0.648365,0.643398,0.652965,0.649043,0.0252824,30.6182,45.609,1.11782,1.10492,32.085,29.9405,0.828504,48.5783,45.8534,1.19469,111.463,62.5913,0.912888,0.399371,27.3911,1.73863,1.61952,1.06784,41.2779,1.73863,38.1554,34.1339,60.1858,54.4705,8.69556,4.90487,0.317123,0.460963,2.92241,-3.77049,0.0444769,0.0167196
4,4.17652,0.0179318,0.35,0.375000,0.371636,9.79395e-05,0.5,0.475000,0.477365,9.40867e-05,90,4.09135,0.616627,3.80002,3.65463,3.56749,3.50943,0.629234,0.615385,0.60808,0.603567,0.612463,0.613844,0.0282554,21.7298,34.5338,1.14375,1.12819,22.3828,20.3444,0.722242,35.8418,32.8102,1.04272,111.463,62.5913,0.360266,0.210641,18.9988,1.06399,0.737304,0.422095,30.6098,1.06399,24.1742,21.1359,38.8611,34.4454,7.94793,4.46743,0.36348,0.465615,2.86122,-5.78513,0.0479683,0.0140669
4,4.59711,0.0110578,0.35,0.425000,0.418603,8.97741e-05,0.5,0.475000,0.48193,6.62244e-05,90,3.52678,0.896661,3.367,3.28662,3.23823,3.2059,0.601423,0.592779,0.588286,0.585534,0.590813,0.593349,0.0474822,7.28244,12.1087,1.13252,1.21082,7.40342,6.82842,0.422069,12.3407,10.6061,0.649146,111.463,62.5913,0.0231122,0.0837081,6.43032,0.252372,0.0690192,0.12259,10.0004,0.252372,7.38576,6.52155,12.0781,9.97515,7.27102,4.0574,0.404301,0.466568,2.82294,-7.04577,0.0488366,0.0140913
4,4.96364,0.00624103,0.35,0.475000,0.465342,7.48777e-05,0.5,0.475000,0.489474,2.38772e-05,90,1.87904,1.08879,1.78378,1.73592,1.70713,1.68791,0.489713,0.481308,0.47698,0.474342,0.480492,0.480867,0.0945049,1.20407,2.45872,1.16267,1.26877,1.21185,1.08396,0.181578,2.48123,2.037,0.296066,111.463,62.5913,0.00237771,0.00431979,1.03561,0.037436,0.00776187,0.00997648,1.93789,0.037436,0.987418,0.849268,1.63725,1.29043,6.58841,3.62093,0.447928,0.472095,2.78534,-8.28396,0.0504417,0.0141364
4,3.37518,0.00789788,0.35,0.275000,0.282132,7.13621e-05,0.5,0.525000,0.524149,9.98701e-05,90,6.30594,1.1131,5.52062,5.13247,4.901,4.74727,0.708906,0.684894,0.671502,0.662959,0.681344,0.664573,0.0314397,18.2922,25.8034,1.09837,1.06365,19.1131,18.0249,0.562645,27.8815,27.0898,0.824417,111.463,62.5913,0.414356,0.333013,16.6539,1.67505,0.745692,1.20803,24.2594,1.67505,22.0373,20.0636,34.7679,32.6874,9.4763,4.87136,0.276303,0.513634,3.34746,10.2256,0.0568926,0.0169336
4,3.78486,0.015852,0.35,0.325000,0.325269,0.000101909,0.5,0.525000,0.525428,0.000103115,90,4.02195,0.486964,3.54093,3.30041,3.1561,3.05989,0.626026,0.602171,0.589064,0.580777,0.597497,0.595337,0.0227017,28.0128,44.747,1.10475,1.10485,29.892,28.1802,0.730528,48.7078,45.8812,1.12753,111.463,62.5913,1.13108,0.569934,25.3566,2.42909,2.19065,1.3943,40.5006,2.42909,37.1522,33.6295,59.9869,54.2943,8.73991,4.51291,0.317048,0.512645,3.26377,7.46998,0.0572445,0.0169396
4,4.16434,0.0188297,0.35,0.375000,0.372624,9.73922e-05,0.5,0.525000,0.524054,0.000105986,90,4.94297,0.774694,4.43549,4.18235,4.03065,3.9296,0.664541,0.64436,0.633357,0.626431,0.634877,0.639612,0.0290595,21.8528,32.8841,1.16389,1.15297,22.9524,20.4984,0.681182,35.3056,31.8802,1.0085,111.463,62.5913,0.566086,0.378688,18.7756,1.57646,1.30256,0.797693,28.5211,1.57646,24.505,21.0543,40.303,34.9556,7.89967,4.1079,0.361967,0.509077,3.12693,2.96421,0.057584,0.0143371
4,4.55472,0.0132093,0.35,0.425000,0.420171,9.50689e-05,0.5,0.525000,0.522572,0.000111987,90,3.67485,0.868824,3.23198,3.01102,2.87859,2.79037,0.609113,0.585176,0.572102,0.563864,0.583799,0.580673,0.04425,8.24171,13.5307,1.21461,1.20285,8.46298,7.26985,0.442199,14.04,12.0801,0.662701,111.463,62.5913,0.0758957,0.106281,6.78545,0.634146,0.156311,0.267145,11.2488,0.634146,8.72884,7.18651,14.5761,12.1179,7.17104,3.73968,0.406092,0.505129,3.02365,-0.436687,0.057306,0.0143293
4,4.9591,0.00753271,0.35,0.475000,0.468116,8.20633e-05,0.5,0.525000,0.518249,8.73966e-05,90,4.04805,2.01246,3.68226,3.49998,3.39081,3.31811,0.627239,0.60949,0.599999,0.59409,0.606692,0.601529,0.093211,2.04555,3.2612,1.12902,1.10757,2.07413,1.90492,0.22713,3.36424,3.12324,0.322093,111.463,62.5913,0.00933361,0.0159831,1.8118,0.127505,0.0286713,0.0643646,2.94446,0.127505,1.72274,1.52588,2.90745,2.62507,6.51847,3.41433,0.449736,0.499242,2.92896,-3.55467,0.056285,0.0143006
4,3.37684,0.00715289,0.35,0.275000,0.283249,6.65702e-05,0.5,0.575000,0.570954,8.33145e-05,90,6.8637,1.62962,5.82629,5.31375,5.00817,4.80525,0.723851,0.694696,0.677895,0.666969,0.691608,0.664677,0.0414241,10.9248,15.0926,1.1026,1.07561,11.613,10.9724,0.423552,16.7944,16.2435,0.635303,111.463,62.5913,0.257226,0.366987,9.90818,1.23816,0.438396,1.14379,14.0316,1.23816,14.2208,12.8975,22.8164,21.2125,9.43323,4.4475,0.277596,0.559495,3.6339,19.6575,0.0684964,0.0171335
4,3.76185,0.0146286,0.35,0.325000,0.326288,0.000102082,0.5,0.575000,0.572828,9.82389e-05,90,3.96032,0.521478,3.35224,3.04934,2.86797,2.7472,0.623131,0.591961,0.574428,0.563189,0.586177,0.576416,0.0246886,22.6852,36.4051,1.12307,1.10885,24.6673,22.9184,0.639493,41.0474,38.4897,1.01354,111.463,62.5913,1.17672,0.588265,20.1993,2.43156,2.33313,1.85347,32.8315,2.43156,31.7587,28.2786,52.2447,47.1163,8.65663,4.10423,0.318433,0.558888,3.52608,16.1075,0.0689506,0.0171413
4,4.13636,0.0190152,0.35,0.375000,0.372243,9.97619e-05,0.5,0.575000,0.574256,0.000102243,90,3.85462,0.537029,3.37164,3.12985,2.98469,2.88788,0.618059,0.593035,0.579234,0.570489,0.582789,0.581177,0.0261137,21.4879,34.7667,1.17487,1.18067,22.9045,20.2868,0.649759,38.4379,33.8102,1.02594,111.463,62.5913,0.822137,0.383636,18.2896,1.83281,1.88924,1.22024,29.4466,1.83281,25.74,21.9088,43.2651,36.6446,7.86182,3.73852,0.361284,0.558267,3.40614,12.158,0.0678079,0.0146243
4,4.56754,0.012995,0.35,0.425000,0.420195,9.61153e-05,0.5,0.575000,0.57439,9.73157e-05,90,3.15079,0.661257,2.78371,2.59956,2.48887,2.415,0.580466,0.557764,0.545424,0.53767,0.556231,0.549673,0.0387957,8.46557,14.5841,1.16281,1.18342,8.87165,7.94938,0.415583,15.5594,13.6002,0.661459,111.463,62.5913,0.18744,0.161788,7.28029,0.65856,0.363268,0.46091,12.3236,0.65856,9.69776,8.33996,16.6069,14.0329,7.1884,3.42031,0.406325,0.555316,3.33241,9.73012,0.0680077,0.0146299
